fight_id,event_name,event_date,location,venue,fighter1,fighter2,winner,method,round,time,weight_class,title_fight,gender,num_rounds,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_dob,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_dob,fighter1_sig_strikes_pm,fighter1_sig_strikes_acc,fighter1_sig_strikes_abs_pm,fighter1_sig_strikes_def,fighter1_takedown_avg,fighter1_takedown_acc,fighter1_takedown_def,fighter1_sub_avg,fighter2_sig_strikes_pm,fighter2_sig_strikes_acc,fighter2_sig_strikes_abs_pm,fighter2_sig_strikes_def,fighter2_takedown_avg,fighter2_takedown_acc,fighter2_takedown_def,fighter2_sub_avg,fighter1_wins,fighter1_losses,fighter1_draws,fighter1_win_streak,fighter1_lose_streak,fighter1_ko_wins,fighter1_sub_wins,fighter1_dec_wins,fighter2_wins,fighter2_losses,fighter2_draws,fighter2_win_streak,fighter2_lose_streak,fighter2_ko_wins,fighter2_sub_wins,fighter2_dec_wins,fighter1_odds,fighter2_odds,favorite,underdog,betting_outcome,fighter1_rank,fighter2_rank,data_source,ppv_buys,attendance,bonus_type
24c325cd27f4,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Royce Gracie,Gerard Gordeau,Royce Gracie,SUB,1.0,1:44,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
e888d575a0c3,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Gerard Gordeau,Teila Tuli,Gerard Gordeau,KO/TKO,1.0,0:26,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
b9cc4da1db4b,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Kevin Rosier,Zane Frazier,Kevin Rosier,KO/TKO,1.0,4:20,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
9b27d5ad5818,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Royce Gracie,Ken Shamrock,Royce Gracie,SUB,1.0,0:57,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
ae2252e0b488,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Ken Shamrock,Patrick Smith,Ken Shamrock,SUB,1.0,1:49,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
417ef8855a35,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Gerard Gordeau,Kevin Rosier,Gerard Gordeau,KO/TKO,1.0,0:59,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
81c63ec31863,UFC 1: The Beginning,1993-11-12,Denver CO,McNichols Sports Arena,Royce Gracie,Art Jimmerson,Royce Gracie,SUB,1.0,2:18,Open Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ufc_fight_database,,,
b353d2a334cf,UFC 2: No Way Out,1994-03-11,,,Royce Gracie,Patrick Smith,Royce Gracie,KO/TKO,1.0,,Open Weight,,,,185.42,79.3786,,Southpaw,,1966-12-12,187.96,102.0582,,Orthodox,,1963-08-28,0.88,0.41,1.13,0.37,0.0,0.0,0.66,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,comprehensive_ufc_data,,,
01b43ced1a9b,UFC 2: No Way Out,1994-03-11,,,Royce Gracie,Remco Pardoel,Royce Gracie,SUB,1.0,,Open Weight,,,,185.42,79.3786,,Southpaw,,1966-12-12,190.5,117.93392,,Southpaw,,,0.88,0.41,1.13,0.37,0.0,0.0,0.66,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,comprehensive_ufc_data,,,
0c7eb6bf21ad,UFC 2: No Way Out,1994-03-11,,,Patrick Smith,Johnny Rhodes,Patrick Smith,SUB,1.0,,Open Weight,,,,187.96,102.0582,,Orthodox,,1963-08-28,182.88,95.25432,,Orthodox,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,comprehensive_ufc_data,,,
